id;nombre;nombreGenerico;fraccion;unidadFraccion;vence;control;antibiotico;pos;facturable;stockMinimo;stockMaximo;maxOrdenar;estabilidad;invFarmacia;invAlmacen;enfermeria;terapia;nutricion;cantidad;cums;regSanitario;altoCosto;vrCompra;vrUltimaCompra;codigoAtc;infusion;tipoAdministracion;regulado;vaorRegulado;observaciones;sispro;oncologico;ortesis;epiHigiene;controlStock;AnatoPos;magistralControl;genericoPos;fechaRegistro;estadoReg;concentracion_id;concepto_id;grupo_id;subGrupo_id;tipoSuministro_id;unidadMedida_id;viaAdministracion_id;principioActivo_id;descripcionComercial;fechaExpedicion;fechaVencimiento;registroSanitario;ripsCums_id;ripsDci_id;ripsFormaFarmaceutica_id;ripsTipoMedicamento_id;ripsUnidadDispensa_id;ripsUnidadMedida_id;tipoHonorario_id;cantidadUvr;ripsUnidadUpr_id;requiereAutorizacion
17675;NORVETAL 20;NORVETAL 20;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19905413-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;MUESTRA MeDICA CAJA X 21 TABLETAS RECUBIERTAS;10/23/2024;10/23/2024;INVIMA 2010 M-13966 R1;2;1;1;1;1;1;1;0;1;N
17676;ACTACEL;ACTACEL;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19907879-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;VIAL DE VIDRIO TIPO I. CAJA POR 1 VIAL;10/23/2024;10/23/2024;INVIMA M-014470;2;1;1;1;1;1;1;0;1;N
17677;INFLEXAL(R)  V;INFLEXAL(R)  V;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19908013-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;"CAJA CON 10 JERINGAS PRELLENADA CON 0, 5 ML";10/23/2024;10/23/2024;INVIMA M-014737;2;1;1;1;1;1;1;0;1;N
17678;IBUMER  SUSPENSION;IBUMER  SUSPENSION;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19908183-3;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO EN  VIDRIO aMBAR   POR  120 ML;10/23/2024;10/23/2024;INVIMA 2017M-014537-R1;2;1;1;1;1;1;1;0;1;N
17679;AGAROL M (EMULSION);AGAROL M (EMULSION);0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19901051-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO POLIETILENO POR 320 ML;10/23/2024;10/23/2024;INVIMA M-012809;2;1;1;1;1;1;1;0;1;N
17680;ALCOHOL ANTISePTICO MARICEL;ALCOHOL ANTISePTICO MARICEL;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19541-3;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO PVC CON TAPA BLANCA EN POLIPROPILENO POR 450 ML.;10/23/2024;10/23/2024;INVIMA 2005M-008295-R2;2;1;1;1;1;1;1;0;1;N
17681;UNGUENTO MENTOL NO. 2;UNGUENTO MENTOL NO. 2;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19547-4;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;POTE TRASLuCIDO X 50g;10/23/2024;10/23/2024;INVIMA 2022M-006295-R4;2;1;1;1;1;1;1;0;1;N
17682;NORMALAC GRAGEAS;NORMALAC GRAGEAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19902652-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 28 GRAGEAS;10/23/2024;10/23/2024;INVIMA M-13959;2;1;1;1;1;1;1;0;1;N
17683;DOLONET GEL 5%;DOLONET GEL 5%;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19931312-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;TUBO COLAPSIBLE X 20 G.;10/23/2024;10/23/2024;INVIMA 2002M-0001796;2;1;1;1;1;1;1;0;1;N
17684;UNGUENTO MENTOL NO. 2;UNGUENTO MENTOL NO. 2;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19547-6;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA PLEGADIZA CON TUBO TRILAMINADO X 50g;10/23/2024;10/23/2024;INVIMA 2022M-006295-R4;2;1;1;1;1;1;1;0;1;N
17685;AMIODARONA HCL 200 MG TABLETAS;AMIODARONA HCL 200 MG TABLETAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19903280-5;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;BLISTER P. P. ALUMINIO EN CAJA POR 200 TABLETAS;10/23/2024;10/23/2024;INVIMA M-13803;2;1;1;1;1;1;1;0;1;N
17686;DOLOFEN SLEEP;DOLOFEN SLEEP;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19904844-33;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA CON UN FRASCO BLANCO PEAD Y TAPA DE PP Y LINNER DE ALUMINIO POR 40 TABLETAS.;10/23/2024;10/23/2024;INVIMA 2021M-13901-R3;2;1;1;1;1;1;1;0;1;N
17687;TRI-LUMA CREMA;TRI-LUMA CREMA;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19931579-3;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA CON TUBO EN ALUMINIO POR 15G;10/23/2024;10/23/2024;INVIMA 2023M-0001905-R3;2;1;1;1;1;1;1;0;1;N
17688;PRAMIXAL;PRAMIXAL;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19933468-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO DE PVC POR 60 ML.;10/23/2024;10/23/2024;INVIMA 2003M-0002123;2;1;1;1;1;1;1;0;1;N
17689;UNGUENTO ESCOVAR;UNGUENTO ESCOVAR;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;11218-3;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA DE HOJALATA POR 25G;10/23/2024;10/23/2024;INVIMA M- 005683;2;1;1;1;1;1;1;0;1;N
17690;UNGUENTO PALMER'S;UNGUENTO PALMER'S;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19913643-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;POTE X 15 G. POTE DE POLIETILENO .;10/23/2024;10/23/2024;INVIMA 2001N-0000006;2;1;1;1;1;1;1;0;1;N
17691;BESOGEN CREMA;BESOGEN CREMA;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19913607-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;"CAJA PLEGADIZA, TUBO COLAPSIBLE X 40 G.";10/23/2024;10/23/2024;INVIMA M-015046;2;1;1;1;1;1;1;0;1;N
17692;FINASTERIDE 5 MG;FINASTERIDE 5 MG;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19912735-6;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;BLISTER PVDCALUMINIO EN CAJA X 60 TABLETAS;10/23/2024;10/23/2024;INVIMA M-014856;2;1;1;1;1;1;1;0;1;N
17693;FENOPRON 300 MG CAPSULAS.;FENOPRON 300 MG CAPSULAS.;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;102649-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA CARTON X 100 CAPSULAS;10/23/2024;10/23/2024;INVIMA M-007526-R2;2;1;1;1;1;1;1;0;1;N
17694;ELEVE 50 MG TABLETAS;ELEVE 50 MG TABLETAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19908090-5;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA X 6 TABLETAS EN BLISTER.;10/23/2024;10/23/2024;INVIMA M-014466;2;1;1;1;1;1;1;0;1;N
34656;VENDA DE YESO 5 PULG X 5 YDS;VENDA DE YESO 5 PULG X 5 YDS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;VEND005;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;VENDA DE YESO 5 PULG X 5 YDS;10/23/2024;10/23/2024;NULL;2;1;1;1;1;1;1;0;1;N
17634;APLICADORES;APLICADORES;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;NULL;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;NULL;10/23/2024;10/23/2024;NULL;2;1;1;1;1;1;1;0;1;N
17695;CREMA NIDOXERM MEDICADA;CREMA NIDOXERM MEDICADA;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;11340-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;"CAJA DE HOJALATA POR 20 G, EN CAJA DE CARToN DE 12 CAJAS POR 36 DOCENAS.";10/23/2024;10/23/2024;INVIMA M-004907;2;1;1;1;1;1;1;0;1;N
17696;KETOTIFENO TABLETAS;KETOTIFENO TABLETAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1981073-3;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA X 20 TABLETAS.;10/23/2024;10/23/2024;INVIMA M-13794;2;1;1;1;1;1;1;0;1;N
17697;SYLADOR GOTAS;SYLADOR GOTAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19908617-3;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO POR 10ML;10/23/2024;10/23/2024;INVIMA FE-014574;2;1;1;1;1;1;1;0;1;N
17698;TRAMAL INYECTABLE 50 MG;TRAMAL INYECTABLE 50 MG;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19512-5;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;Muestra Medica: CAJA POR 1 AMPOLLA DE VIDRIO TIPO I INCOLORO POR 1 mL;10/23/2024;10/23/2024;INVIMA 2015M-007193-R3;2;1;1;1;1;1;1;0;1;N
17699;ASTEMIZOL SUSPENSION;ASTEMIZOL SUSPENSION;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;13162-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO X 100 ML.;10/23/2024;10/23/2024;M-005090;2;1;1;1;1;1;1;0;1;N
17700;CETIRIZINA 1 MG.ML.;CETIRIZINA 1 MG.ML.;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1980369-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO PLASTICO POR 30ML.;10/23/2024;10/23/2024;INVIMA M-005275;2;1;1;1;1;1;1;0;1;N
17701;SERVIPEP 40 MG TABLETAS;SERVIPEP 40 MG TABLETAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;17369-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 20 TABLETAS;10/23/2024;10/23/2024;INVIMA M-010000;2;1;1;1;1;1;1;0;1;N
17702;ALBENDAZOL 4% SUSPENSION;ALBENDAZOL 4% SUSPENSION;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19909492-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO X 10 ML.;10/23/2024;10/23/2024;INVIMA 2001M-0000046;2;1;1;1;1;1;1;0;1;N
17703;TENSOMAX 10 MG COMPRIMIDOS;TENSOMAX 10 MG COMPRIMIDOS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1980099-3;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO POR 30 TABLETAS;10/23/2024;10/23/2024;INVIMA M-005772;2;1;1;1;1;1;1;0;1;N
17704;TENSOMAX 10 MG COMPRIMIDOS;TENSOMAX 10 MG COMPRIMIDOS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1980099-4;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO POR 20 TABLETAS;10/23/2024;10/23/2024;INVIMA M-005772;2;1;1;1;1;1;1;0;1;N
17705;SECNIDAZOL 500MG;SECNIDAZOL 500MG;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1980275-4;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 12 TABLETAS EN BLISTER DE ALUMINIOPVC.;10/23/2024;10/23/2024;INVIMA M- 004791;2;1;1;1;1;1;1;0;1;N
17706;PAMOATO DE PIRANTEL CaPSULAS;PAMOATO DE PIRANTEL CaPSULAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;13651-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 30 CaPSULAS. EMPAQUE TIPO BLISTER;10/23/2024;10/23/2024;INVIMA M-005163;2;1;1;1;1;1;1;0;1;N
17707;FLUNARIZINA CAPSULA;FLUNARIZINA CAPSULA;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1980480-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 20 CAPSULAS EN BLISTER ALUMINIOPVC.;10/23/2024;10/23/2024;INVIMA M-14160;2;1;1;1;1;1;1;0;1;N
17708;SULTAMICILINA 375 MG;SULTAMICILINA 375 MG;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1980572-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJAS POR 10 TABLETAS;10/23/2024;10/23/2024;INVIMA M-007261;2;1;1;1;1;1;1;0;1;N
